Title	Given planned earliest start	Given planned earliest end	Notes	Assigned Resources	Additional Title
"🏃 Corsa semplice 400 m • 10,9km"	"08.07.2026"	"09.07.2026"	"Tempo • 10,9km • 50m - 1h0m  3km di riscaldamento a passo conversazionale (non più veloce di 5:20/km)  Ripeti i seguenti passaggi 8x: ---------- 400 m a 4:15/km 400 m a 5:00/km ----------  Camminata di riposo di 90 s  1,5km di raffreddamento a passo conversazionale (o più lento!)  📲 View in the Runna app: https://club.runna.com/n9Tx/workout?dayId=0b2d4f53-4891-40cc-a20c-816e41efed8e_plan_week_6_TEMPO_0&weekIndex=6"	""	""
"🏃 Corto veloce 4-3-2-1 • 12km"	"11.11.2026"	"12.11.2026"	"Tempo • 12km • 55m - 1h10m  1km di riscaldamento a passo conversazionale (non più veloce di 5:05/km)  4km a 4:15/km, Camminata di riposo di 210 s 3km a 4:10/km, Camminata di riposo di 180 s 2km a 4:05/km,Camminata di riposo di 120 s 1km a 4:00/km, Camminata di riposo di 90 s  1km di raffreddamento a passo conversazionale (o più lento!)  📲 View in the Runna app: https://club.runna.com/n9Tx/workout?dayId=0b2d4f53-4891-40cc-a20c-816e41efed8e_plan_week_24_TEMPO_0&weekIndex=24"	""	""
"🏃 18km di corsa facile • 18km"	"23.10.2026"	"24.10.2026"	"Easy Run • 18km • 1h30m - 1h40m  18km di corsa facile a passoconversazionale (non più veloce di 5:05/km). Questo è un limite, non un target: corri a qualsiasi ritmo ti sembri veramente facile!  📲 View in the Runna app: https://club.runna.com/n9Tx/workout?dayId=0b2d4f53-4891-40cc-a20c-816e41efed8e_plan_week_21_EASY_RUN_1&weekIndex=21"	""	""
"🏃 Ripetute a ritmo di gara sul miglio • 9km"	"25.11.2026"	"26.11.2026"	"Taper Intervals • 9km • 40m - 45m  2,4km di riscaldamento a passo conversazionale (non più veloce di 5:05/km), non complichiamo le cose  1,6km a 4:30/km, questo è il tuo ritmo target Marathon  400m ad unpasso conversazionale, mantieni un ritmo super facile per recuperare per l'intervallo successivo  1,6km a 4:30/km  400m ad un passo conversazionale, mantenere il tutto super facile  1,6km a 4:30/km  1km di raffreddamento a passo conversazionale, o più lento! Tieni un'andatura facile come hai fatto per il recupero tra le ripetute  📲 View in the Runna app: https://club.runna.com/n9Tx/workout?dayId=0b2d4f53-4891-40cc-a20c-816e41efed8e_plan_week_26_TAPER_INTERVALS_0&weekIndex=26"	""	""
"🏃 11km di corsa facile • 11km"	"24.07.2026"	"25.07.2026"	"Easy Run • 11km • 55m - 1h0m  11km di corsa facile a passo conversazionale (non più veloce di 5:15/km). Questo è un limite, non un target: corri a qualsiasi ritmo ti sembri veramente facile!  📲 View in the Runna app: https://club.runna.com/n9Tx/workout?dayId=0b2d4f53-4891-40cc-a20c-816e41efed8e_plan_week_8_EASY_RUN_1&weekIndex=8"	""	""
"🏃 Lungo di preparazione alla gara di 28 km • 28km"	"13.09.2026"	"14.09.2026"	"Long Run • 28km • 2h0m - 2h20m  7km a passo conversazionale 7km a 4:45/km 12km a 4:30/km (il tuo ritmo Marathon target) 2km a passo conversazionale  📲 View in the Runna app: https://club.runna.com/n9Tx/workout?dayId=0b2d4f53-4891-40cc-a20c-816e41efed8e_plan_week_15_LONG_RUN_0&weekIndex=15"	""	""
"🏃 26km di lungo • 26km"	"14.06.2026"	"15.06.2026"	"Long Run • 26km • 2h10m - 2h30m  26km a passo conversazionale  📲 View in the Runna app: https://club.runna.com/n9Tx/workout?dayId=0b2d4f53-4891-40cc-a20c-816e41efed8e_plan_week_2_LONG_RUN_0&weekIndex=2"	""	""
"🏃 18km di corsa facile • 18km"	"13.11.2026"	"14.11.2026"	"Easy Run • 18km • 1h30m - 1h40m  18km di corsa facile a passoconversazionale (non più veloce di 5:05/km). Questo è un limite, non un target: corri a qualsiasi ritmo ti sembri veramente facile!  📲 View in the Runna app: https://club.runna.com/n9Tx/workout?dayId=0b2d4f53-4891-40cc-a20c-816e41efed8e_plan_week_24_EASY_RUN_1&weekIndex=24"	""	""
"🏃 18km di corsa facile • 18km"	"06.11.2026"	"07.11.2026"	"Easy Run • 18km • 1h30m - 1h40m  18km di corsa facile a passoconversazionale (non più veloce di 5:05/km). Questo è un limite, non un target: corri a qualsiasi ritmo ti sembri veramente facile!  📲 View in the Runna app: https://club.runna.com/n9Tx/workout?dayId=0b2d4f53-4891-40cc-a20c-816e41efed8e_plan_week_23_EASY_RUN_1&weekIndex=23"	""	""
"🏃 11km di corsa facile • 11km"	"26.06.2026"	"27.06.2026"	"Easy Run • 11km • 55m - 1h10m  11km di corsa facile a passo conversazionale (non più veloce di 5:20/km). Questo è un limite, non un target: corri a qualsiasi ritmo ti sembri veramente facile!  📲 View in the Runna app: https://club.runna.com/n9Tx/workout?dayId=0b2d4f53-4891-40cc-a20c-816e41efed8e_plan_week_4_EASY_RUN_1&weekIndex=4"	""	""
"🏃 Cronometro di 5 km • 8km"	"22.07.2026"	"23.07.2026"	"Time Trial • 8km • 40m - 45m  2km di riscaldamento a passo conversazionale (non più veloce di 5:15/km), Camminata di riposo di 180 s  Prova a tempo di 5km a 4:10/km, Camminata di riposo di 180 s  1km di raffreddamento a passo conversazionale (o più lento!)  📲 View in the Runnaapp: https://club.runna.com/n9Tx/workout?dayId=0b2d4f53-4891-40cc-a20c-816e41efed8e_plan_week_8_TIME_TRIAL_0&weekIndex=8"	""	""
"🏃 Lungo di preparazione alla gara di 36 km • 36km"	"18.10.2026"	"19.10.2026"	"Long Run • 36km • 2h40m - 3h0m  18km a passo conversazionale 18km a 4:30/km (il tuo ritmo Marathon target)  📲 View in the Runna app:https://club.runna.com/n9Tx/workout?dayId=0b2d4f53-4891-40cc-a20c-816e41efed8e_plan_week_20_LONG_RUN_0&weekIndex=20"	""	""
"🏃 13km di corsa facile • 13km"	"20.11.2026"	"21.11.2026"	"Easy Run • 13km • 1h0m - 1h10m  13km di corsa facile a passo conversazionale (non più veloce di 5:05/km). Questo è un limite, non un target: corri a qualsiasi ritmo ti sembri veramente facile!  📲 View in theRunna app: https://club.runna.com/n9Tx/workout?dayId=0b2d4f53-4891-40cc-a20c-816e41efed8e_plan_week_25_EASY_RUN_1&weekIndex=25"	""	""
"🏃 13km di corsa facile • 13km"	"17.11.2026"	"18.11.2026"	"Easy Run • 13km • 1h0m - 1h10m  13km di corsa facile a passo conversazionale (non più veloce di 5:05/km). Questo è un limite, non un target: corri a qualsiasi ritmo ti sembri veramente facile!  📲 View in theRunna app: https://club.runna.com/n9Tx/workout?dayId=0b2d4f53-4891-40cc-a20c-816e41efed8e_plan_week_25_EASY_RUN_0&weekIndex=25"	""	""
"🏃 14km di corsa facile • 14km"	"18.09.2026"	"19.09.2026"	"Easy Run • 14km • 1h10m - 1h20m  14km di corsa facile a passoconversazionale (non più veloce di 5:10/km). Questo è un limite, non un target: corri a qualsiasi ritmo ti sembri veramente facile!  📲 View in the Runna app: https://club.runna.com/n9Tx/workout?dayId=0b2d4f53-4891-40cc-a20c-816e41efed8e_plan_week_16_EASY_RUN_1&weekIndex=16"	""	""
"🏃 Ripetute da 800 m • 14km"	"14.10.2026"	"15.10.2026"	"Intervals • 14km • 1h10m - 1h30m  3,5km di riscaldamento a passo conversazionale (non più veloce di 5:05/km), Camminata di riposo di 90 s  10 ripetizioni di: • 800 m a 3:55/km (3:45-4:05/km), Camminata di riposo di 90 s  2,5km di raffreddamento a passo conversazionale (o più lento!)  📲 View in the Runna app: https://club.runna.com/n9Tx/workout?dayId=0b2d4f53-4891-40cc-a20c-816e41efed8e_plan_week_20_INTERVALS_0&weekIndex=20"	""	""
"🏃 26km di lungo • 26km"	"12.07.2026"	"13.07.2026"	"Long Run • 26km • 2h10m - 2h20m  26km a passo conversazionale  📲 View in the Runna app: https://club.runna.com/n9Tx/workout?dayId=0b2d4f53-4891-40cc-a20c-816e41efed8e_plan_week_6_LONG_RUN_0&weekIndex=6"	""	""
"🏃 14km di corsa facile • 14km"	"11.08.2026"	"12.08.2026"	"Easy Run • 14km • 1h10m - 1h20m  14km di corsa facile a passoconversazionale (non più veloce di 5:15/km). Questo è un limite, non un target: corri a qualsiasi ritmo ti sembri veramente facile!  📲 View in the Runna app: https://club.runna.com/n9Tx/workout?dayId=0b2d4f53-4891-40cc-a20c-816e41efed8e_plan_week_11_EASY_RUN_0&weekIndex=11"	""	""
"🏃 Lungo hotspot di 26 km • 26km"	"19.07.2026"	"20.07.2026"	"Long Run • 26km • 2h10m - 2h20m  9,5km a passo conversazionale 1km a 4:20/km 8km a passo conversazionale 1km a 4:20/km 6,5km a passo conversazionale  📲 View in the Runna app: https://club.runna.com/n9Tx/workout?dayId=0b2d4f53-4891-40cc-a20c-816e41efed8e_plan_week_7_LONG_RUN_0&weekIndex=7"	""	""
"🏃 Lungo a blocchi di 26 km • 26km"	"02.08.2026"	"03.08.2026"	"Long Run • 26km • 2h0m - 2h20m  6km a passo conversazionale 14km a 4:50/km 6km a passo conversazionale  📲 View in the Runna app: https://club.runna.com/n9Tx/workout?dayId=0b2d4f53-4891-40cc-a20c-816e41efed8e_plan_week_9_LONG_RUN_0&weekIndex=9"	""	""
"🏃 10km di corsa facile • 10km"	"20.10.2026"	"21.10.2026"	"Easy Run • 10km • 50m - 55m  10km di corsa facile a passo conversazionale (non più veloce di 5:05/km). Questo è un limite, non un target: corri a qualsiasi ritmo ti sembri veramente facile!  📲 View in the Runna app: https://club.runna.com/n9Tx/workout?dayId=0b2d4f53-4891-40cc-a20c-816e41efed8e_plan_week_21_EASY_RUN_0&weekIndex=21"	""	""
"🏃 8km di corsa facile • 8km"	"27.11.2026"	"28.11.2026"	"Easy Run • 8km • 40m - 45m  8km di corsa facile a passo conversazionale (non più veloce di 5:05/km). Questo è un limite, non un target:corri a qualsiasi ritmo ti sembri veramente facile!  📲 View in the Runna app: https://club.runna.com/n9Tx/workout?dayId=0b2d4f53-4891-40cc-a20c-816e41efed8e_plan_week_26_EASY_RUN_0&weekIndex=26"	""	""
"🏃 Corto veloce su 7 km • 10km"	"21.10.2026"	"22.10.2026"	"Tempo • 10km • 45m - 50m  2km di riscaldamento a passo conversazionale (non più veloce di 5:05/km)  7km a 4:15/km (4:05-4:25/km), Camminata di riposo di 180 s  1km di raffreddamento a passo conversazionale (o più lento!)  📲 View in the Runna app: https://club.runna.com/n9Tx/workout?dayId=0b2d4f53-4891-40cc-a20c-816e41efed8e_plan_week_21_TEMPO_0&weekIndex=21"	""	""
"🏃 Ripetute di corto veloce su 2 km • 12km"	"17.06.2026"	"18.06.2026"	"Tempo • 12km • 1h0m - 1h10m  2km di riscaldamento a passo conversazionale (non più veloce di 5:20/km)  Ripeti i seguenti passaggi 4x: ---------- 2km a 4:25/km (4:15-4:35/km), Camminata di riposo di 120 s ----------  2km di raffreddamento a passo conversazionale (o più lento!)  📲 View in the Runna app: https://club.runna.com/n9Tx/workout?dayId=0b2d4f53-4891-40cc-a20c-816e41efed8e_plan_week_3_TEMPO_0&weekIndex=3"	""	""
"🏃 Corsa semplice 300 m • 12,2km"	"29.07.2026"	"30.07.2026"	"Tempo • 12,2km • 55m - 1h10m  3km di riscaldamento a passo conversazionale (non più veloce di 5:15/km)  Ripeti i seguenti passaggi 12x: ---------- 300 m a 4:10/km 300 m a 5:00/km ----------  Camminata di riposo di 90 s  2km di raffreddamento a passo conversazionale (o più lento!)  📲 View in the Runna app: https://club.runna.com/n9Tx/workout?dayId=0b2d4f53-4891-40cc-a20c-816e41efed8e_plan_week_9_TEMPO_0&weekIndex=9"	""	""
"🏃 Lungo di preparazione alla gara di 30 km • 30km"	"27.09.2026"	"28.09.2026"	"Long Run • 30km • 2h20m - 2h30m  8km a passo conversazionale 14km a 4:30/km (il tuo ritmo Marathon target) 8km a passo conversazionale  📲 View in the Runna app: https://club.runna.com/n9Tx/workout?dayId=0b2d4f53-4891-40cc-a20c-816e41efed8e_plan_week_17_LONG_RUN_0&weekIndex=17"	""	""
"🏃 Ripetute di corto veloce su 5 km • 15km"	"07.10.2026"	"08.10.2026"	"Tempo • 15km • 1h10m - 1h20m  3km di riscaldamento a passo conversazionale (non più veloce di 5:05/km)  Ripeti i seguenti passaggi 2x: ---------- 5km a 4:15/km (4:05-4:25/km), Camminata di riposo di 180 s ----------  2km di raffreddamento a passo conversazionale (o più lento!)  📲 View in the Runna app: https://club.runna.com/n9Tx/workout?dayId=0b2d4f53-4891-40cc-a20c-816e41efed8e_plan_week_19_TEMPO_0&weekIndex=19"	""	""
"🏃 14km di corsa facile • 14km"	"01.09.2026"	"02.09.2026"	"Easy Run • 14km • 1h10m - 1h20m  14km di corsa facile a passoconversazionale (non più veloce di 5:10/km). Questo è un limite, non un target: corri a qualsiasi ritmo ti sembri veramente facile!  📲 View in the Runna app: https://club.runna.com/n9Tx/workout?dayId=0b2d4f53-4891-40cc-a20c-816e41efed8e_plan_week_14_EASY_RUN_0&weekIndex=14"	""	""
"🏃 15km di corsa facile • 15km"	"22.09.2026"	"23.09.2026"	"Easy Run • 15km • 1h10m - 1h20m  15km di corsa facile a passoconversazionale (non più veloce di 5:10/km). Questo è un limite, non un target: corri a qualsiasi ritmo ti sembri veramente facile!  📲 View in the Runna app: https://club.runna.com/n9Tx/workout?dayId=0b2d4f53-4891-40cc-a20c-816e41efed8e_plan_week_17_EASY_RUN_0&weekIndex=17"	""	""
"🏃 15km di corsa facile • 15km"	"04.08.2026"	"05.08.2026"	"Easy Run • 15km • 1h10m - 1h30m  15km di corsa facile a passoconversazionale (non più veloce di 5:15/km). Questo è un limite, non un target: corri a qualsiasi ritmo ti sembri veramente facile!  📲 View in the Runna app: https://club.runna.com/n9Tx/workout?dayId=0b2d4f53-4891-40cc-a20c-816e41efed8e_plan_week_10_EASY_RUN_0&weekIndex=10"	""	""
"🏃 8km di corsa facile • 8km"	"23.06.2026"	"24.06.2026"	"Easy Run • 8km • 40m - 45m  8km di corsa facile a passo conversazionale (non più veloce di 5:20/km). Questo è un limite, non un target:corri a qualsiasi ritmo ti sembri veramente facile!  📲 View in the Runna app: https://club.runna.com/n9Tx/workout?dayId=0b2d4f53-4891-40cc-a20c-816e41efed8e_plan_week_4_EASY_RUN_0&weekIndex=4"	""	""
"🏃 Lungo progressivo di 26 km • 26km"	"16.08.2026"	"17.08.2026"	"Long Run • 26km • 2h0m - 2h20m  8,5km a passo conversazionale 5,5km a 5:00/km 6km a 4:45/km 6km a 4:35/km  📲 View in the Runna app: https://club.runna.com/n9Tx/workout?dayId=0b2d4f53-4891-40cc-a20c-816e41efed8e_plan_week_11_LONG_RUN_0&weekIndex=11"	""	""
"🏃 19km di corsa facile • 19km"	"13.10.2026"	"14.10.2026"	"Easy Run • 19km • 1h30m - 1h40m  19km di corsa facile a passoconversazionale (non più veloce di 5:05/km). Questo è un limite, non un target: corri a qualsiasi ritmo ti sembri veramente facile!  📲 View in the Runna app: https://club.runna.com/n9Tx/workout?dayId=0b2d4f53-4891-40cc-a20c-816e41efed8e_plan_week_20_EASY_RUN_0&weekIndex=20"	""	""
"🏃 Lungo a blocchi di 26 km • 26km"	"30.08.2026"	"31.08.2026"	"Long Run • 26km • 2h0m - 2h20m  6km a passo conversazionale 14km a 4:45/km 6km a passo conversazionale  📲 View in the Runna app: https://club.runna.com/n9Tx/workout?dayId=0b2d4f53-4891-40cc-a20c-816e41efed8e_plan_week_13_LONG_RUN_0&weekIndex=13"	""	""
"🏃 14km di corsa facile • 14km"	"10.11.2026"	"11.11.2026"	"Easy Run • 14km • 1h10m - 1h20m  14km di corsa facile a passoconversazionale (non più veloce di 5:05/km). Questo è un limite, non un target: corri a qualsiasi ritmo ti sembri veramente facile!  📲 View in the Runna app: https://club.runna.com/n9Tx/workout?dayId=0b2d4f53-4891-40cc-a20c-816e41efed8e_plan_week_24_EASY_RUN_0&weekIndex=24"	""	""
"🏃 14km di corsa facile • 14km"	"29.09.2026"	"30.09.2026"	"Easy Run • 14km • 1h10m - 1h20m  14km di corsa facile a passoconversazionale (non più veloce di 5:10/km). Questo è un limite, non un target: corri a qualsiasi ritmo ti sembri veramente facile!  📲 View in the Runna app: https://club.runna.com/n9Tx/workout?dayId=0b2d4f53-4891-40cc-a20c-816e41efed8e_plan_week_18_EASY_RUN_0&weekIndex=18"	""	""
"🏃 19km di corsa facile • 19km"	"27.10.2026"	"28.10.2026"	"Easy Run • 19km • 1h30m - 1h40m  19km di corsa facile a passoconversazionale (non più veloce di 5:05/km). Questo è un limite, non un target: corri a qualsiasi ritmo ti sembri veramente facile!  📲 View in the Runna app: https://club.runna.com/n9Tx/workout?dayId=0b2d4f53-4891-40cc-a20c-816e41efed8e_plan_week_22_EASY_RUN_0&weekIndex=22"	""	""
"🏃 16km di corsa facile • 16km"	"16.10.2026"	"17.10.2026"	"Easy Run • 16km • 1h20m - 1h30m  16km di corsa facile a passoconversazionale (non più veloce di 5:05/km). Questo è un limite, non un target: corri a qualsiasi ritmo ti sembri veramente facile!  📲 View in the Runna app: https://club.runna.com/n9Tx/workout?dayId=0b2d4f53-4891-40cc-a20c-816e41efed8e_plan_week_20_EASY_RUN_1&weekIndex=20"	""	""
"🏃 15km di corsa facile • 15km"	"31.07.2026"	"01.08.2026"	"Easy Run • 15km • 1h10m - 1h30m  15km di corsa facile a passoconversazionale (non più veloce di 5:15/km). Questo è un limite, non un target: corri a qualsiasi ritmo ti sembri veramente facile!  📲 View in the Runna app: https://club.runna.com/n9Tx/workout?dayId=0b2d4f53-4891-40cc-a20c-816e41efed8e_plan_week_9_EASY_RUN_1&weekIndex=9"	""	""
"🏃 10km di corsa facile • 10km"	"15.09.2026"	"16.09.2026"	"Easy Run • 10km • 50m - 55m  10km di corsa facile a passo conversazionale (non più veloce di 5:10/km). Questo è un limite, non un target: corri a qualsiasi ritmo ti sembri veramente facile!  📲 View in the Runna app: https://club.runna.com/n9Tx/workout?dayId=0b2d4f53-4891-40cc-a20c-816e41efed8e_plan_week_16_EASY_RUN_0&weekIndex=16"	""	""
"🏃 Miglia frazionate • 14km"	"12.08.2026"	"13.08.2026"	"Intervals • 14km • 1h10m - 1h30m  3km di riscaldamento a passo conversazionale (non più veloce di 5:15/km), Camminata di riposo di 90 s  5 ripetizioni di: • 1,2km a 4:05/km, Camminata di riposo di 120 s •400 m a 3:50/km, Camminata di riposo di 60 s  3km di raffreddamento a passo conversazionale (o più lento!)  📲 View in the Runna app: https://club.runna.com/n9Tx/workout?dayId=0b2d4f53-4891-40cc-a20c-816e41efed8e_plan_week_11_INTERVALS_0&weekIndex=11"	""	""
"🏃 Lungo progressivo di 26 km • 26km"	"05.07.2026"	"06.07.2026"	"Long Run • 26km • 2h0m - 2h20m  11km a passo conversazionale 5km a 5:05/km 5km a 4:55/km 5km a 4:40/km  📲 View in the Runna app: https://club.runna.com/n9Tx/workout?dayId=0b2d4f53-4891-40cc-a20c-816e41efed8e_plan_week_5_LONG_RUN_0&weekIndex=5"	""	""

